movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"3622","Mel Brooks","0","0","94","Comedy,Drama","Двенадцать стульев"
"3619","Floyd Mutrux","4000000","10000000","91","Comedy","The Hollywood Knights"
"3618","Woody Allen","25000000","29934477","94","Comedy,Crime","Мелкие мошенники"
"3617","Todd Phillips","16000000","119754278","93","Comedy","Дорожное приключение"
"3616","Amy Heckerling","20000000","18404706","98","Comedy,Romance","Неудачник"
"3615","Eric Leighton,Ralph Zondag","127500000","349822765","82","Animation,Adventure,Drama","Динозавр"
"3614","Andrew Bergman","25000000","35208854","96","Comedy,Romance,Thriller","Медовый месяц в Лас-Вегасе"
"3609","Barbara Sonneborn","0","44204","72","Documentary,War","Regret to Inform"
"3608","Tim Burton","6000000","41047344","91","Adventure,Comedy,Family","Большое приключение Пи-Ви"
"3606","Stanley Donen,Gene Kelly","2111250","0","98","Comedy,Musical,Romance","On the Town"
"3604","Mervyn LeRoy","4000000","0","143","Biography,Comedy,Drama","Gypsy"
"3599","George Sidney,Joseph Barbera,William Hanna","0","0","140","Comedy,Fantasy,Musical","Anchors Aweigh"
"3598","Michael Almereyda","2000000","2046433","112","Drama,Romance,Thriller","Гамлет"
"3597","Peter M. Cohen","3000000","4775009","82","Comedy,Romance","Проигравший"
"3596","Scott Alexander,Larry Karaszewski","10000000","7201701","81","Comedy,Crime","История одного похищения"
"3594","Nicholas Hytner","29000000","26385941","115","Drama,Music,Romance","Авансцена"
"3593","Roger Christian","73000000","29725663","117","Action,Adventure,Sci-Fi","Поле битвы: Земля"
"3592","René Laloux","0","0","78","Animation,Adventure,Sci-Fi","Властелины времени"
"3591","Stan Dragoti","0","64783827","91","Comedy,Drama","Mr. Mom"
"3590","Martin Davidson,Stephen Verona","160000","0","86","Comedy,Drama,Romance","The Lords of Flatbush"
"3587","Dario Argento","1620.0","0","106","Horror","Inferno"
"3586","Taylor Hackford","0","2625716","117","Biography,Drama,Music","The Idolmaker"
"3584","Jim McBride","7500000","19910002","100","Action,Drama,Romance","Breathless"
"3581","Justin Kerrigan","2772000.0","104257","99","Comedy,Music","B oтрыв!"
"3580","Philip Haas","0","3740113","115","Drama,Romance","На вилле"
"3578","Ridley Scott","103000000","465387186","155","Action,Adventure,Drama","Гладиатор"
"3577","Zalman King","0","1547397","104","Drama,Romance","Two Moon Junction"
"3576","Jack Sholder","5000000","9748233","97","Horror,Sci-Fi,Thriller","The Hidden"
"3574","Jonathan Winfrey","0","0","85","Action,Horror,Sci-Fi","Эксперимент 'Карнозавр 3'"
"3573","Louis Morneau","0","0","83","Action,Horror,Sci-Fi","Эксперимент 'Карнозавр 2'"
"3572","Adam Simon,Darren Patrick Moloney","850000","1753979","83","Horror,Sci-Fi","Эксперимент 'Карнозавр'"
"3571","Mike Figgis","5000000","1431406","97","Drama,Romance","Тайм-код"
"3569","Lars von Trier","2500000","2804","117","Comedy,Drama","Идиоты"
"3568","Kevin Jordan","40000","278492","90","Comedy,Romance","По индейской тропе"
"3567","Bruno Barreto","0","4069261","95","Comedy,Romance,Drama","Боссанова"
"3566","John Swanbeck","7000000","3728888","90","Drama,Comedy","Большая сделка"
"3565","Matt Williams","15000000","40863718","120","Comedy,Drama,Romance","Там, где сердце"
"3564","Brian Levant","83000000","59468275","90","Comedy,Family,Romance","Флинтстоуны в Рок-Вегасе"
"3563","Bharat Nalluri","10000000","0","102","Action,Crime,Fantasy","Ворон 3: Спасение"
"3559","Charles Chaplin","0","9291","137","Drama,Music,Romance","Limelight"
"3557","Bruce Robinson","20000000","11390479","124","Crime,Drama,Mystery","Дженнифер 8"
"3556","Sofia Coppola","9000000","10410044","97","Drama,Romance","Девственницы-самоубийцы"
"3555","Jonathan Mostow","62000000","127666415","116","Action,War","Ю-571"
"3554","Gina Prince-Bythewood","20000000","27743596","124","Drama,Romance,Sport","Любовь и баскетбол"
"3553","Davis Guggenheim","24000000","12591270","90","Drama,Mystery,Thriller","Сплетня"
"3552","Harold Ramis","6000000","39918650","98","Comedy,Sport","Caddyshack"
"3551","John Schlesinger","6500000","21709020","125","Crime,Drama,Thriller","Marathon Man"
"3550","Tony Scott","0","5988818","97","Drama,Horror","The Hunger"
"3549","Joseph L. Mankiewicz","5500000","3791","150","Comedy,Crime,Musical","Guys and Dolls"
"3548","Morton DaCosta","2240000","0","143","Comedy,Drama,Romance","Auntie Mame"
